En que momento el doctor van Helsing lleva la guirnalda hecha con ajos para Lucy?,Después de hacer preparaciones en su habitación y cerrar las ventanas para mantenerlos bien aromatizados.,InstanteGuirnalda
"Quien lleva a cabo la labores de mejoria en el estado de Lucy al estar durmiendo?,",Señora Westenra,AccionMejorLucy
Cuando se llevó a cabo la segunda transfusión de sangre en 'Drácula'?,Después de que Van Helsing regresa débil y cansado desde la noche anterior con Lucy siendo restaurada después de la primera transfusión.,Transfusión 2
¿Quien actúa como donante de sangre en esta segunda transfusión?,Van Helsing él mismo.,Donante de Sangre
Qué escribe Lucy Westenra el 17 de septiembre en su diario?,Se encuentra sanando después del proceso con Van Helsing y está disfrutando del tiempo tranquilo y feliz.,Desarrollo Historia Lucy
"Quién visita a Lucy por última vez antes de salir?,",Doctor Van Helsing.,Visita Antes Salida Lucys Diario
Donde esta situada la residencia de Thomas Bilder?,Detrás del recinto de los elefantes en el jardín zoológico,Residencia Bilder
En que momento del relato habla por primera vez Thomas Bilder sobre el escapado lobo Bersicker?,Inicia hablando de él mientras recibe al reportero en su vivienda tras terminar la cena.,Introducción Acerca De Bersicker Thomas Bilder
Quién interactua con narrador sobre animales eneste pasaje de Drácula?,Un hombre alto y delgado con nariz aguileña y barba en punta que llevaba guantes blancos para niño.,Personaje
Quién es Thomas y cómo se relaciona con el tema del lobo fugitivo en este pasaje?,Thomas es un jardinero que tiene cierta experiencia con animales y también es un personaje ligado a la historia que condujo al escapamiento del lobo Bersicker. Sus comentarios teóricos intentan explicar por qué el lobo huyó.,Personaje relevante en contexto
Quien es Drácula y por qué aparece en contexto con escena de lobo fugitivo?,"Drácula es el antagonista principal en la novela de Bram Stoker. No aparece específicamente en este fragmento sobre el lobo Bersicker que escape, pero la historia entera gira alrededor de las actividades y conflictos con él.",Personaje relevante en relación al libro
 por lo que me ocupé en vendrar mi muñeca," manteniendo todo el tiempo una cautelosa vigilancia sobre la figura postrada.""",Reacción posterior a combate
Quién llega corriendo junto a Jonathan en esta escena?,van Helsing.,Personaje entrante
En qué momento del libro 'Drácula' sucede este encuentro entre protagonistas?,Después de que Jonathan no recibió respuesta al tocar el timbre durante algunos ratos.,Tiempo en contexto
Por qué llegaron van Helsing y Jonathan a la casa de Lucy de forma inesperada?,No recibió Jonathan una telegrama de van Helsing hasta temprano por la mañana sobre posibles problemas con Lucy.,Motivo del encuentro no previsto
En qué estado se encontran Lucy y su madre en la habitación?,Muertas pero aún mostrando signos de vida como respiración y un olor a láudano.,Estado en la escena descrita
Que descubren Jonathan Helsing al observar las heridas en el cuello de Lucy's mother?,Flores que habían estado alrededor de su cuello se encontraban en el pecho.,Descripción de la escena secundaria por efecto del ataque
¿Qué acción inmediata toma van Helsing para tratar a las mujeres afectadas?,"Frotarles con brandy las labios, encías, manos y muñecas.",Tratamiento inicial propuesto por van Helsing
Quién llega tras de van Helsing y Jonathan a la casa?,Un caballero con un mensaje para el señor Holmwood.,Entrada sorpresiva en la situación
Qué tratamiento inician Jonathan y van Helsing sobre Lucy una vez están en su habitación?,Frotarlas con brandy y procurarles agua caliente en el baño.,Inicio de atención médica a Lucy
Quién llega mientras Jonathan corrige hacia Emilo?,Quincey Morris.,Personaje entrante en escena
¿Que objeto le entrega Van Helsing a Jonathan para ser leído?,Dos hojas de papel.,Documento mostrado a Jonathan
Cómo reacciona Van Helsing al descubrir el certificado de defunción es necesario ocultar?,"No se preocupe por ello ahora. De momento, olvídelo.",Van Helsing ante la posibilidad de investigaciones oficiales
Quien le entrega un telegrama a Quincey Morris cuando salen?,Arthur con información sobre la muerte de Westenra y estado de Lucy.,Enviado por Arthur
Describa situación después de romper el papel por Lucy en Drácula?,Lucy se sumió en una especie de aturdimiento y más tarde comenzó a destruir un papel que llevaba en su pecho. Llevó a pensar que era consciente de la muerte que acababa de sufrir su madre y este acto desgarrón reflejó sus sentimientos.,Desarrollo del argumento
Qué le pasa a Lucy Westenra desde la carta de Mina?,Lucy se encuentra recuperando en compañía de su familia adoptiva después de su largo viaje con el Dr. Seward para tratar la rabia y posteriormente su mal estado luego del ataque de Count Drácula.,Desarrollo del argumento
Qué relato sobre Lucy Westenra el Doctor Hennessey da en carta a John Seward?,El doctor Henryesse explica que la paciente ha intentado una nueva fuga y alcanzó casi un final trágico pero fortuitamente evitado. Relata cómo otro par de extraños visitaron la zona cerca de su casa buscando información para encontrar el camino hacia donde Lucy había sido ingresada.,Desarrollo del argumento
Quienes son los villanos en el primer encuentro físico de Jonathan Harker con su paciente?,Dos cocheros que ayudaron a escapar al paciente.,Villanos
Que acción realizan los cocheros cuando Jonathan Harker trata de capturar al loco?,Intentan evadir al paciente golpeando a Jonathan.,Reacción antagonista
En que direcciones se encuentran los testigos del escapamiento del paciente en 'Drácula' libro de Bram Stoker?,"Jack está en Smollet de Dudding's Rents, King George's Road en Great Walworth y Thomas Snelling junto a Peter Farley's Row, Guide Court ubicado en Bethnal Green. Ambos son empleados de Harris e Hijos.",Direcciones de testigos
Quien visita a Lucy durante sus momentos débiles en la historia de 'Drácula'?,El doctor John Seward visita y cuida de ella junto con el profesor Abraham van Helsing.,Visitantes de Lucy
Como describe la situación de Lucy cuando van Helsing llega a relevarlo?,Lucy parecía estar cerca de la muerte pero despertaba cada vez que se le quitaba la oscuridad.,Estado de Lucy
Quien desata el sueño de Arthur para que vea a Lucy?,Van Helsing.,Despertador
"Cuando Arthur intenta abrazar a Lucy en este momento crítico, quién interviene para detenerlo?",Van Helsing.,Intervención
Qué escena sigue después del altercado entre Van Helsing y Arthur cuando Lucy se despierta nuevamente?,"Lucy abre los ojos de manera vacía pero también dura, habla en voz suave y voluptuosa e intenta besar a Arthur pero es detenida por Van Helsing.",Nueva Conciencia de Lucy
En qué momento del relato se realiza el funeral de Lucy y su madre?,Se dispuso el funeral para el día siguiente después de que se determinara su muerte.,Funeral
Quién asume la responsabilidad de los trámites administrativos para el funeral?,John Seward.,Administrador de Trámites
Quien encuentra y muestra el diario recientemente comenzado junto a cartas y notas?,John Harker.,Personaje
¿Qué tipo de documentos encontró el mismo personaje al entrar en una habitación particular?,Diario recientemente comenzado junto a cartas y notas.,Documentos hallados
"Al final del pasaje dónde persona refiere operar y extraer parte del cuerpo sin especificarlo del principio, quién hace esta referencia y hacia quien está dirigiendo la conversación?",Profesor(Drácula) a John Harker.,Personaje hablando con otro
Quién le promete fidelidad en su misión extraña a pesar de dudas posibles?,John Harker al Profesor(Drácula).,Personaje que confía en otro
"Al describir sus pensamientos sobre una promesa hecha anteriormente y los sacrificios para mantenerla, qué hace el profesor?",Recuerda a una promesa realizada hacia una muerta llamada Lucy.,Recordando un hecho pasado
Quien le explica que un pequeño objeto robado de una mujer ha sido recuperado?,El profesor.,Personaje que comunica información a otro
"Quién llega hasta la habitación de John Harker y revela algo importante sobre el pequeño crucifijo robado?,",El Profesor.,Personaje que entra en escena y comenta un hecho relevante
Como se encontraba el empresario de pompas fúnebres ante la situación en el libro?,Fiel a su habilidad como profesional pero abatido emocionalmente.,Emociones Profesionales
Cuando llega Arthur en la historia?,Poco antes de las cinco.,Tiempo de Llegada
Cual es la reacción de Arthur al ver a su muerta en el libro?,Lo encuentra temblando y sacudido con duda que luego desaparece.,Emociones ante muerte
Que solicita van Helsing en este pasaje del libro?,Autorización para leer las papeles y cartas de Lucy.,Solicitud Profesional
Dónde Jonathan y Mina regresan tras el entierro del señor Hawkins?,A Londres y luego a la esquina de Hyde Park.,Lugar retorno
Quien observa a la bella muchacha sentada en una victoria afuera de Giuliano's?,"Un hombre alto y delgado extraño, con rasgos marcados.",Personaje desconocido
Lugar donde Jonathan y Mina observan al extraño hombre que mira a la muchacha bonita?,Green Park después de pasar tiempo en Hyde Park.,Parque observación
Quién regresa junto a Arthur y Quincey Morris después del funeral de Lucy?,Van Helsing.,Personaje regreso
Quien es narrador interno en dicho pasaje de Drácula?,El Conde Drácula mismo.,Personaje narra
En donde descansa Lucy en el relato?,Señorial mausoleo de su familia en un solitario cementerio lejos de Londres.,Lugar sepultura Lucy
En que lugar se producen historias sobre la 'Dama Fanfarrona'?,Brezal de Hampstead.,Lugar eventos
Quien es la persona recibiendo carta confidencial el 24 de septiembre?,La señora Mina Harker.,Destinatario
Quién es Van Helsing en contexto del texto?,"Un médico y profesor holandés especialista en neuropatología que se involucra en la investigación sobre los sucesos extraños ocurridos en el libro, amigo cercano de Abraham van Hellsing (Error de ortografía en nombre) puede ser Bram Stoker refiriéndose al personaje ficticio.",Personaje
Por qué Van Helsing escribe carta a Mina Harker?,Compartirle la muerte de Lucy Westenra y pedir su ayuda en un asunto muy importante que está investigando relacionado con sus amistades.,Motivo Carta
Quién envia telegrama a Van Helsing el 25 de septiembre?,Mina Harker.,Remitente Telegrama
Para quien viaja Van Helsing el día 25 de septiembre en este contexto?,WILLHELMINA HARKER (Mina),Destinatario Viaje Van Helsing
Qué temor le causa a Mina Harker al esperar la visita de Van Helsing el 25 de septiembre?,Esperaba que le iluminara sobre el horroroso diario de Jonathan y la experiencia de este último.,Anxiety esperando Van Helsing
Quién visita Mina el 25 de septiembre en este contexto?,Dr. van Helsing.,Visitante en casa Mina
Cuál es la impresión inicial de Mina sobre Van Helsing?,Su cabeza le impresionó como indicativa de fuerza de pensamiento e inteligencia.,Impresiones sobre Van Helsing al verlo
Quién visita a Mina después de leer las cartas de Lucy Westenra en novelda Bram Stoker 'Drácula'?,Doctor van Helsing.,Personaje visitante
Que busca el Doctor van Helsing cuando llega a ver a Mina?,Investigar sobre los hechos relacionados con sonambulismo que sucedieron con Lucy.,Motivo de visita
Qué objeto le ofrece Van Helsing a Mina al comenzar la conversación?,Un diario estenográfico que contenía las notas tomadas por Mina durante el tiempo en Whitby junto a Lucy.,Regalo inicial
Cuanto tiempo despues de leer cartas de Lucy Westenra van Helsing visita a Mina?,Inmediato.,Tiempo entre hechos
Que encuentra Van Helsing en el diario estenografico de Mina?,"Claridad sobre los hechos relacionados con sonambulismo que sucedieron con Lucy Westenra, lo cual le abre las puertas para entender la situación.",Descubrimiento realizado tras lectura
Cuanto elogio le hace Van Helsing a Mina?,Es una mujer muy lista y luz en una oscuridad.,Elogios hacia Mina
Que descubre Van Helsing al leer los papeles de Mina?,Claridad sobre sucesos oscuros relacionados con Lucy Westenra que involucran sonambulismo.,Descubrimiento en diario estenografico de Mina
¿Qué promete Van Helsing hacer para ayudar a Jonathan?,":""Todo lo que pueda por hacerle más fuerte y mantener una vida feliz para ambos.""",Compromiso con el bienestar de la pareja
Cual es su respuesta hacia las historias increíbles sobre su marido?,Pide paciencia a Van Helsing y le pide que no se rieta ni la tenga por tontera.,Respuesta ante lo extraño acerca de Jonathan
Cuándo se envió la carta de Van Helsing a Mina Harker?,25 de septiembre,Fecha carta
¿Cuándo visita el grupo a Jonathan Harker?,Doctor Abraham Van Helsing llega para visitar la casa el día 25 de septiembre.,Visita
En qué horario llega Van Helsing para comer con el grupo?,Anochecer y estar para cenar.,Hora llegada cena
En quien está escribiendo esta parte del relato?,Jonathan Harker.,Narrador temporal
Contra qué enemigo se enfrentan en este momento de la historia?,Creatures desatados por Drácula.,Oponente
Qué sucesión de eventos ocurre en relación a las niñas heridas de Hampstead?,Noticia del periódico con similaridades a las heridas de Lucy.,Novedad externa que impacta el grupo
A quien hace esta comparación de edad entre Matusalén y Old Parr?,Jonathan Harker.,Narrador temporal
Quien desarrolla esta filosofía de abrazar lo inconcreible para comprender la vida?,Profesor Abel Mukerney.,Personaje narrador o experiencia directa
Quien revela la verdad sobre pequeños agujeros en niños a Doctor Seward?,Van Helsing.,Personaje revelador informacion
Que objetivo tiene Van Helsing al revelarle esta informacion a Seward?,Probar su teoria y esperar que pueda apoyarlo.,Intención de Van Helsing
Quién proporciona explicación sobre pequeñas heridas en niños gargantas y sus conexiones con Lucy?,Van Helsing.,Personaje que explica teoria
Ubicacion que Van Helsing lleva a Jonathan para ver la tumba de Lucy?,Cementerio de los Westenra.,Lugar visitado por investigadores
En que situación se encuentran Van Helsing y John después de abrir el féretro en la casa de Lucy?,Van Helsing ha realizado una incisión en el féretro y descubre que está vacío mientras John quedó sorprendido pero impresionado.,Situacion antes de salir del lugar
Cuál es el motivo por el cual Van Helsing sugiere a John mantener la llave?,Debido al temor de que la entrada podría estar en peligro si no se cuida correctamente dicha llave.,Motivo para guardar la llave
¿Qué hace Jonathan Harker mientras Van Helsing patrulla el cementerio?,Se esconde detrás de un tejo y observa desde lejos a su maestro vigilar el lugar.,Patrulla posterior al incidente en casa de Lucy
Donde encuentra Van Helsing y Jonathan Harker después de salir del cementerio?,En un macizo de árboles donde examinan al niño hallado en el lugar.,Ubicacion tras la salida del cementerio
¿Qué decisión toman con el niño encontrado?,Deciden llevarlo a una zona segura del Brezal de Hampstead mientras esperan que un policía lo encuentre.,Acción sobre el niño hallado
En qué lugar se encuentran Van Helsing y Jonathan al día siguiente de los hechos descritos?,"En la ciudad donde preparan para otra expedición, según planea Van Helsing.",Ubicacion el dia seguinte a los hechos del cementerio
Donde y cuando se encuentran Van Helsing y Jonathan tras abrir la cripta de Lucy en este segmento?,En el lugar donde descansan los cadáveres cerca del alba luego de descubrir a una resucitada Lucy dentro del féretro.,Situacion tras abrir tumba de Lucy
Que teorias están aceptadas parcialmente por Jonathan en lo relacionado con la vida dual y la muerte de Lucy?,Teorias de van Helsing sobre las 'nomuertas' y que fue mordida mientras caminaba dormida.,Concepción sobre vampiros
Pregunta,Respuesta,Etiqueta
Que acción propone Drácula para eliminar a la 'nomuerta' al serle pedido por Jonathan?,"Cortarle la cabeza y llenarla de ajo, atravesando su corazón con una estaca.",Eliminación vampírica
Pregunta,Respuesta,Etiqueta
Que reflexión genera el encuentro entre Jonathan y van Helsing acerca del amor?,El amor puede variar entre subjetivo e objetivo.,Amor filosófico
Pregunta,Respuesta,Etiqueta
Que plan establece van Helsing para atender la situación actual y futura?,Actuar ahora eliminando al vampiro que es Lucy sin arriesgar a Arthur. Mantener la vigilancia sobre ellos todos.,Estrategia antivampiro
Qué plan propone van Helsing para proteger a Lucy?,Ir solo al cementerio vigilar durante la noche y preparar unas herramientas como ajos y crucifijos para sellar su sepultura.,Protección de Lucy
Pregunta,Respuesta,Etiqueta
Que mensaje escribe van Helsing para Jonathan Seward?,Un aviso en caso de accidentes mientras él vigila el cementerio la noche entera con fines preventivos.,Advertencia a Seward
Que situación anticipa van Helsing para Godalming?,Relata eventos extraños que pueden haber ocurrido y solicita su asistencia en el cementerio de la iglesia para enfrentar algo muy grave.,Solicitud a Arthur Godalming
En que lugar se lleva a cabo la discusion entre personajes principales sobre sus dudas en Bram Stoker's Drácula?,El cementerio de la iglesia de Kingstead.,Lugar discusión
En que momento del capítulo hablan personajes principales de Drácula sobre la posibilidad de Lucy estar afectada como 'muerta viva' o 'no muerta'?,"El momento se da tras una discusión previa en el cementerio de Kingstead, donde profesor van Helsing revela esta teoría sobre Lucy.",Discussión
"En el cementerio de Kingstead durante la discusion entre personajes principales al respecto de una tumba especial, quien abrió la puerta y encendió una linterna?",Doctor van Helsing.,Apertura tumba
Quien encontró el féretro vacío en Drácula?,Van Helsing junto con otros personajes.,Personaje acción específica
Dónde se encuentra el féretro vacío en ese momento?,Castillo de Carfax cerca de Londres.,Lugar
En qué circunstancias revela Van Helsing acerca del féretro vacío?,Al ser preguntado por Quincey Morris sobre si extraió el cuerpo o lo manipulo.,Duda resuelta
Qué material utiliza Van Helsing para cerrar la tumba?,La Hostia traída de Ámsterdam.,Objeto utilizado por Van Helsing
Con permiso de quien tiene Van Helsing el derecho para usar La Hostia en tal situación?,No se especifica directamente en el texto pero Van Helsing actúa con autoridad y respeto al uso.,Autorización
Quién se encuentra frente a los personajes después de que la luz de la luna ilumina el área en Drácula?,La transformada Lucy Westenra.,Personaje revelado
Descripción del rostro malvado al abrir la tumba en 'Drácula'?,"Un hermoso rostro se convierte repentinamente en uno lleno de rabia y maldad con ojos lanzando chispas y una frente arrugada como colas de serpientes, dejando al descubierto su sangrientamente sonrisa.",Descripción
Cuándo van los protagonistas al cementerio después de una noche de insomnio en 'Drácula'?,La visita al cementerio se lleva a cabo el 29 de septiembre a las una y media de la madrugada.,HoraDeCementerio
Qué explicación del profesor sobre la transformación de Lucy en vampiro en 'Drácula'?,"Van Helsing relata cómo el proceso implica inmortalidad y un aumento de malvados muertos vivientes que se propagan a través de ataques similares, formando un círculo destructivo.",ExplicacionCambioLucy
me escapa— y, en cuanto acabó, sacudió las manos como si intentara deshacerse de algo pesado y 
Accion requerida para liberar a Lucy Moya de control vampiro?,"Arthur debe traspasar su cuerpo con una estaca en la oscura cripta donde se encuentra el cadáver transformado, como señala Van Helsing.",Liberación
Accion realizada para salvar a Lucy de las garras del vampiro?,Arthur traspasa el cadáver transformado con una estaca en el corazón bajo la dirección de Van Helsing mientras los demás oran.,Liberacion de Lucy
Objetivo posterior a salvar a Lucy en el grupo?,Buscar al autor de sufrimientos y liquidarlo.,Seguir Buscando Autor
Quién envió telegrama a Abraham Van Helsing en ausencia?,MINA HARKER.,Remitente Telegrama
Donde llegaba Jonathan en el telegrama?,Whitby.,Lugar Arribo
Que información consideraba El Professor importante recibir de inmediato?,Noticias importantes.,Informacion Urgiencia
En que dispositivo grababa Abraham Van Helsing sus conocimientos?,fonógrafo.,Dispositivo Grabacion
Que objetivo tenía Abraham Van Helsing al permitir a Mina escuchar los cilindros metálicos huecos cubiertos de cera oscura?,Conocer mejor su personalidad antes de oír historia horrible.,Intencion Permiti Escucha Cilindros
Quien relata emocionado los ojos llenos de lagrima del personaje femenino?,Mina.,Personaje
Que libro están analizando sus detalles este pasaje?,Drácula de Bram Stoker.,Libro
Quién lee el diario de Jonathan Harker y está decidida a compartir lo aprendido para ayudar en la lucha contra Drácula?,Mina.,Personaje que proporciona información
A quién lee el diario de Jonathan Harker y le da a entender su contenido en forma grabada para Mina?,El doctor Seward.,Personaje ayudante con información
En qué momento del libro comienza a leernos la historia registrada por Lucy en forma de grabación?,29 de septiembre en el diario de Mina Harker.,Fecha de evento relacionado
Quién lee el diario de Jonathan Harker y lo traduce a máquina para ayudar al grupo de lucha contra Drácula?,Mina.,Personaje que proporciona información
Que pasa con el paciente sospechoso en el momento descrito?,Se presenta como alguien cordial y racional.,Estado del Paciente
De que lugar habla Victor sobre ir despues de recibir un mensaje amable del señor Billington?,Whitby.,Lugar Destino
Que objetivo persigue Jonathan Harker al entrar en contacto con el señor Billington?,Seguir hasta su casa de Londres el horroroso envío del Conde Drácula.,Objetivo de Investigacion
Que descripcion obtiene Jonathan Harker sobre el proceso de transporte y recibido del envio del Conde Drácula?,Trabajo extraordinariamente duro y una sed incontrolable.,Descripcion de Proceso Transporte
Que descripcion le da Victor sobre su estado emocional al conocer el regreso animado y energizado de Jonathan?,Se siente aliviada pero con ansiedad.,Estado Emocional de Mina al Ver a Jonathan
Que pasa entre Jonathan Harker y lord Godalming sobre los acontecimientos relacionados con Lucy?,"lord Godalming comprende la magnanimidad de Jonathan por haber compartido todo lo que leyo en los documentos y diarios, al mismo tiempo reconoce su propio dolor y la profunda amistad Lucy mantenía con él. Enfrenta sus emociones frente a Jonathan y le pide ayuda como hermano.",Emocional
Que sucede entre Jonathan y lord Godalming luego de una intensa conversación emocional?,"Godalming se da cuenta de lo extraordinario que ha sido la actitud de Jonathan hacia él en ese momento difícil, reconociendo su propia pena por perder a Lucy y la gran amistad que ella mantuvo con él. Piden ser hermanos bajo el auspicio del recuerdo de Lucy y ambos prometen estar para siempre disponibles mutuamente cuando lo necesiten.",Emocional
Que sucede entre lord Godalming y Jonathan Harker después de hablar profundamente acerca de Lucy?,"Godalming se da cuenta de la gran actitud empatía que ha manifestado Jonathan hacia él durante su dolor por la pérdida de Lucy y la gran amistad que ella mantuvo con él, lo cual los une como hermanos bajo el recuerdo de Lucy y prometen ayudarse mutuamente en cualquier momento necesario.",Emocional
Quién habla con señoritas diferentes sobre Drácula antes de estar en el sanatorio?,El Doctor Seward a quien renfield se refiere.,Relación anterior
Cuál es la ocupación de Renfield antes de su llegada al sanatorio?,Paciente en un asilo para alienados.,Antecedente profesional
Quién afirma haber creído que ingerir seres vivos prolongaría su vida eternamente?,Se refiere a Renfield.,Creencia extremada de Renfield
Cuál es la opinión de Van Helsing sobre incluir los detalles personales en el diario?,Considera que no es necesario omitirlos si Mina lo desea porque fortalece la relación entre ellos y aumentará su respeto e estimacioń.,Aceptación de personal en registro
Quien conduce la reunión en el estudio del doctor Seward?,Profesor Van Helsing.,Lider de reunión
En que fecha se desarrolla esta reunión?,30 de septiembre.,Fecha
Que tipo de enemigo enfrentan los participantes de dicha reunión?,Vampiros.,Oponente
Como se inicia el compromiso en la lucha contra vampiro según Van Helsing?,Toma de manos para expresar solidaridad y promesa de lucha.,Compromiso
En qué países se encuentra la historia del vampiro Drácula?,"Grecia, Roma antigua, Alemania, Francia, India y China.",Origen mitológico
Qué habilidades muestra Drácula en la obra?,"Transmutación en lobo, aparición en lugares mediante niebla que produce, movimiento pequeño para pasar por estrechos espacios, visión en oscuridad y entrada a ciertos lugares con ayuda de los habitantes.",Poderes
Que horas tiene Drácula limitación de movimiento?,Mediodía o la precisa hora de puesta del sol o amanecer,Restricciones de movimiento
Con qué elemento natural está sometido Drácula?,Día.,Soberana fuerza sobre el vampiro
Que medida toman para destruir definitivamente a Drácula?,Encontrar el lugar donde reside Drácula y usar todo su conocimiento para mantenerlo en su ataúd e inconsciente hasta que lo destruyan.,Plan de acción contra Drácula
Donde provienen los conocimientos del Profesor sobre Drácula?,A través de investigaciones realizadas por Jonathan Harker y el trabajo de Arminius en la Universidad de Budapest.,Información sobre Drácula recopilada
Que efecto tiene la mención de murciélagos sobre Mina Harker?,Inflige gran miedo y horror a ella.,Miedo de Mina a los Murciélagos
Quien acude a ver a Renfield en el momento de su urgencia?,El Doctor Seward.,Personaje visitante
En que momento del libro se menciona el mensaje urgentizado a Seward por Renfield?,"Del diario del doctor Seward el 1 de octubre, a las cuatro de la mañana.",Fecha y Momento
Quien es considerado inventor del ponche de ron conocido en Derby Night?,Un hombre querido y respetado por todos los que lo conocían.,Personaje creativo
Quién le ruego para obtener libertad de Renfield en este contexto?,El profesor van Helsing.,Personaje que interviene en la solicitud de libertad
Cómo reacciona el paciente en esta escena cuando Jonathan trata de salir con ellos?,Se dirige hacia Jonathan y hace su petición de confianza y libertad mientras muestra emoción.,Reacción del Paciente
Que pedido expresa el paciente a los médicos en este pasaje?,Pida ser liberado de la casa y se lo permitan llevarse donde quisieran bajo cualquier restricción.,Petición al Médico
Qué opinión expresa Van Helsing sobre el comportamiento de Renfield?,Cree que Renfield es inteligente y tiene algún propósito oculto pero lo mantiene encerrado por precaución.,Van Helsing's Thoughts on Renfield
Que objetos proporciona el profesor como protección en la casa de Drácula?,"Un crucifijo de plata para Jonathan y una collar con cabezas de ajos, revólver y puñal para todos, linternas eléctricas y Hostia Santa oculta para emergencias.",Protecciones del Profesor
Quien abre la puerta en el relato después del profesor Van Helsing?,"No se especifica un nombre particular, pero su acción es descrita como algo similar a los demás al entrar.",Personaje acción no identificado específicamente
Qué número de cajas quedan al examinar el lugar en la historia?,Solo quedan veintinueve de las cincuenta.,Número restante de cajas encontradas en escena
Qué animales son llamados para controlar la infestación de ratas en la historia?,Tres terriers son llamados por lord Godalming desde el exterior de la casa.,Animales llamados para resolver infestacion
"Cuando salieron de la casa Carpathian después de cerrar puertas y registrarla?,",Amanecer estaba irrumpiendo por levante.,Hora
Como se describen perros durante la búsqueda de la casa?,Jugaban como si estuvieran cazando conejos en el bosque durante una noche de verano.,Estado animales
"Que nota hace Van Helsing sobre su experiencia en la primera visita a la mansión?,",Primer paso difícil y peligroso que se realizó sin daño y además conocieron cuál es el número de cajas faltantes.,Comentario Van Helsing
"Que tipo de lección aprenden sobre los animales bajo control del conde?,",Animales no son dociles al espíritu del conde y pueden desobedecerlo.,Lección acerca animales
"Descripción del estado de casa al llegar?,",Sumida en silencio profundo excepto por un ruido doloroso proveniente de Renfield.,Silencio en casa al llegar
"Donde descansaba Mina cuando lo encontró?,",En su habitación dormida respirando con tanta suavidad que tuvo que acentuar el oído para escucharla.,Descanso de Mina
"Que decisión toman referente a involucrar a Mina en sus planes?,","La consideran demasiado delicada para soportar la tensión y mantienen silencio sobre su trabajo, aunque preveen que podría sospechar.",Mina y plan de trabajo
"Cuál fue el número de cajas determinadas de haber sido retiradas?,",Veintiún cajas fueron retiradas.,Cantidad de Cajas robadas
"Qué planean hacer durante la visita de Van Helsing a Thomas Snelling?,",El Dr. Seward irá solo ya que no desea hacerlo esperar al profesor.,Preparaciones para visita Snelling
"Cuál es el estado de humor del paciente cuando entra Van Helsing?,","Sentado en una silla con rostro hosco, malhumorado y sin hablar.",Estado de ánimo de Renfield al recibir a Van Helsing
Quienes están de acuerdo en no enviar a Mina al centro de los eventos del vampirismo?,Jonathan Harker y todos los demás hombres fuertes que rodean a Mina.,Acuerdo
Como reacciona Mina al conocer que Jonathan oculta información sobre el vampirismo?,Sentimientos de incómodidad y llorando.,Emociones
Qué hace Mina cuando los hombres salen de la casa para investigar las desapariciones de las cajas?,Escribe su diario.,Continúa escribiendo su diario
Dónde transcurre la experiencia de Mina mientras Jonathan asiste a Renfield?,En su habitación dormida.,Estado durante ausencia de Jonathan
Qué se produce cuando Mina tiene visiones mientras está dormida?,Recuerda ser abordada por Drácula y presenciar a los enfermeros luchando con Renfield.,Sueños
Que experiencia vive Mina durante su sueño mientras Jonathan está fuera de la casa?,Ve a Drácula aproximándose con niebla y el fantasma de Lucy aparece.,Sueños
Quienes vislumbran ojos rojos en la noche según las visiones de Mina durante el sueño?,Lucy hablando de los fantasmas que vieron cerca de Santa María iglesia.,Referencias en Sueños
En que momento de la narrativa Jonathan Harker se preocupa por dormir bien debido a su estado?,Dos dias después del comienzo de su viaje tras pasar una noche fatigada.,Fatiga durante el viaje
Quién le visita a Mina y causa una nueva debilidad en ella?,Señor Renfield.,Visita emotivo para Mina
Qué medicamento pide a Doctor Seward para dormir bien?,Una pastilla para dormir adormecedora que no ocasionaría ningún daño segun él.,Solicitud de medicamento
En que localización de Londres planea Drácula establecer algunas de sus guaridas?,Numero 197 de Chicksand Street en Mile End New Town y Jamaica Lane en Bermondsey.,Guaridas Planificadas por Drácula en Londres
Quién informa a Jonathan sobre las cajas depositadas y dónde encontrar más detalles?,Joseph Smollet.,Información adicional sobre cajas
Quien le informa a Jonathan Harker acerca de una posible fuente de más datos sobre cajas robadas?,Sam Bloxam.,Otra fuente de información en Londres para Jonathan
A quién está direccionado Jonathan para pedir más detalles sobre Sam Bloxam?,Doctor Seward.,Informando su salida por investigar a Sam
Donde encuentra Jonathan la ubicación de Sam Bloxam basada en la carta recibida por correo?,"Corcoran's House en Potter's Court, Bartel Street, Walworth.",Localización de Sam en Londres
Dónde buscaba Jonathan encontrar a Bloxam en su obra?,Empieza en Poplar y luego localiza la construcción en Cross Angel Street de almacenes refrigerados.,Búsqueda de Personaje
Quien le proporciona información sobre Bloxam a Jonathan Harker?,Guardián y capataz del lugar donde trabaja Bloxam.,Personajes Involucrados
Que relación tiene el capataz con Bloxam en el libro?,Trabajo subordinado donde el capataz le ayuda a encontrar informaciones sobre Bloxam a cambio de dinero.,Relación Laboral
En donde descubre Jonathan la casa que le describe Bloxam?,En Piccadilly.,Ubicación Descubierta
Pregunta,Respuesta,Etiqueta
Que características señala Jonathan en la casa de Londres?,"Estaba desocupada mucho tiempo, ventanas llenas de polvo y levantadas persianas.,Estructura Decayente
             Balcón superior con anuncio retirado bruscamente.",Detalles Casa Londres
Quien le provee a Jonathan con información sobre la compra reciente de casa de Piccadilly?,"Agentes de mudanzas Mitchell, Sons & Candy.",Informantes profesionales
