Pregunta,Respuesta,Etiqueta
"Qué desaparición más reciente ocurre?","El último hombre desaparecido fue el que debía estar a cargo de la guardia en el momento.","Ultima desaparicion tripulante"
"Qué información significativa se reveló sobre el último desaparición?","El último tripulante que desapareció dijo haber visto un hombre alto y delgado cerca de la proa antes de desaparecer.","Descripción del ultimo desaparecido"
"Qué nueva desaparición ocurre?","El primer oficial regresa loco y dijo que vio al hombre delgado y alto cerca de la proa.","Descripcion del hombre que el primer oficial vi"
"Qué miedo experimenta Jonathan Harker ante la llegada del Conde Drácula?","Jonathan Harker se enfrenta al terror y a la desesperación, ya que está seguro de que conoce el secreto perverso que ha llevado al locura del capitán.","Miedo"
"¿Qué desea hacer Jonathan Harker al final de la novela?","Jonathan Harker está decidido a defender su alma y honor, proteger el barco y cumplir con su juramento de capitán.","Defensa/Venganza"
"Qué sospechas Mina Murray respecto a Lucy?","Mina Murray nota que Lucy está pasando una noche muy intranquila.","Sospechosas"
"¿Qué sospechosas tiene Mina Murray sobre Lucy?","Mina Murray está preocupada por el comportamiento de Lucy durante la noche.","Sospechosas"
"¿Qué sucede con Lucy durante los funerales del capitán?","Lucy asiste a los funerales de Jonathan Harker junto a Mina.","Asistencia a los Funerales"
"Qué se sucede con el anciano señor Swales durante los funerales?","El anciano señor Swales es encontrado muerto en la orilla del río.","Muerte del anciano"
"Cuál es el comportamiento inusual del perro mientras el Conde Drácula se ocupa con el funeral?","El perro de Drácula tiene un comportamiento inusual durante la ceremonia funeraria, donde su actitud se vuelve tranquila pero comienza a temblar.","Perro"
"Qué se preocupa Lucy sobre el perro?","Lucy preocupa por que tenga una naturaleza demasiado sensible para que pueda andar por el mundo sin problemas.","Perro/Personajes"
"Qué se toma Lucy una vez de menos?","Lucy se preocupa de que el perro tiene una naturaleza demasiado sensible y estará en peligro por ello.","Perro/Personajes"
"Qué pelea tienen Lucy y el molendero sobre el cura?","Lucy y el molendero tienen una disputa porque la señora Westenra insiste en que el joven cura se quede a cenar.","Molendero/Disputa"
"Qué sentimiento tiene Mina al despertar?","Mina se despierta con una terrible sensación de miedo y un vacío alrededor de ella.","Mina/Sentimientos"
"¿Dónde está Lucy?","Lucy se ha ido de su cuarto mientras Mina la dormía.","Perdida/Personajes"
"¿Dónde se encuentra Lucy cuando Jonathan Harker llega a la Costa Este?","Lucy está sentada en el asiento favorito en East Cliff, junto al muelle, cuando Jonathan Harker llega a buscarla.","Ubicación de Lucy"
"¿Qué puede haber detrás del asiento donde se encuentra la figura blanca?","No se sabe si hay hombre o bestia detrás del asiento de Lucy; este misterio queda sin resolver.","Misterios"
"¿Qué pone el narrador en un lugar ideal para ver la figura blanca?","El narrador se encuentra en una posición ideal para observar la figura blanca desde el muelle hasta la abadía, pero solo puede distinguirla parcialmente a través del manto de sombras.","Observación de Lucy"
"¿Qué temor tiene Jonathan Harker de despertar a Lucy?","El temor que tiene Jonathan Harker de despertar a Lucy es que su respuesta pueda ser una de miedo o pesadilla.","Miedos"
"¿Cómo describe Jonathan Harker a Lucy al despertarla?","Lucy se despierta con una bella expresión y ninguna sorpresa inicial por encontrarse sola y desnuda junto a él, como si estuviera habituada a la situación.","Despierta Lucy"
"¿Qué se hace Lucy al saber que caminó desnuda por el cementerio en la noche?","Lucy no muestra signos de asustarse o temer la consecuencia, sino más bien mantiene su compósura.","Mantiene composición"
"¿Qué aconteció cuando Jonathan Harker llegó al castillo del Conde Drácula?","Al llegar al castillo de Transilvania, Jonathan Harker es metido en una celda donde queda recluido durante cinco días y cuatro noches. La esposa del conde, Ilona, lo ayuda a escapar durante la segunda noche.","Arribo/Detención"
"¿Qué sucedió después de que el Conde Drácula invitara a Jonathan Harker a cenar?","Al terminar la cena el conde ataca y se transforma en murciélago, y escapa a través de una ventana. El castillo queda cubierto de espíritus malévolos.","Transformación"
"¿Qué sucedió el primer día del viaje de Jonathan Harker desde Transilvania?","Jonathan Harker pasa la primera noche en una posada mientras se recupera de sus aventuras en Klausenburg. Despierta para continuar su viaje hacia Londres, pero al salir descubre que el caballo ha sido sustituido por uno nuevo y no recuerda haberlo pedido.","Primera noche"
"¿Qué accidentes ocurren en la carta de Jonathan Harker a Arthur Holmwood?","Jonathan Harker describe una serie de extrañas experiencias durante su viaje desde Transilvania hasta Inglaterra, incluyendo el cambio del caballo, una noche desconcertante y varios incidentes con hombres extraños que hablan de Lucy.","Relato/Extraño"
"Qué eventos ocurren durante la segunda jornada del viaje de Jonathan Harker?","Durante su segunda noche en el camino, el Conde Drácula llega a la posada para cenar. Al finalizar la cena ataca y se transforma en murciélago, escapando a través de una ventana. El castillo queda cubierto por espíritus malévolos.","Segunda jornada"
"¿Qué ocurre con Lucy durante el día 12?","Lucy pasó la primera parte del día durmiendo profundamente. Después de despertar, Lucy y Mina van a la bodega para revisar los registros de gastos de su padre y encontraron que se ha cancelado una factura por 480 libras.","Segunda parte"
"Qué ocurre durante el día 13 de agosto?","Durante todo el día, Lucy y Mina van a la biblioteca para leer un libro que había pertenecido a su padre. El día termina tranquilamente con Lucy desayunando sola en el estudio y entrando en coma nuevamente durante la noche.", "Segunda parte"
"¿Qué eventos ocurren durante la noche del 13 de agosto?","Durante la noche, Lucy intentó por segunda vez escapar para buscar a Jonathan. Esta vez se desmayó y quedó inconsciente.", "Tercera parte"
"Qué sucede durante el día 14 de agosto?","El día transcurre tranquilamente en East Cliff. Lucy está profundamente acostumbrada a la casa y se ha enamorado del lugar.", "Tercera parte"
"¿Qué ocurre durante la noche del 14 de agosto?","Durante la noche, Arthur lee las cartas de Jonathan Harker. Las notas detalladas acerca de lo que el Conde Drácula ha estado haciendo, despertan sus sospechas y sus temores.", "Cuarta parte"
"Qué eventos ocurren durante el día 15 de agosto?","El día transcurre tranquilmente en East Cliff. Lucy y Mina siguen revisando los registros de gastos para preparar la casa de su padre.", "Cuarta parte"
"¿Qué sucede durante la noche del 15 de agosto?","Durante la noche, el Drácula se transforma de nuevo en murciélago y vuela a Londres, donde asesina al Conde de W., pero es herido por Quincey Morris en la lucha.", "Quinta parte"
"Qué sucede en la iglesia de Santa María?","La luz roja del sol reflejada sobre las ventanas de la Iglesia de Santa Maria hace que parezca que está moviéndose. Lucy resulta muy triste al ver esto. Se supone que estaba pensando en el terrible sufrimiento que pasó allí en la noche anterior. Ninguna palabra fue dicha sobre ello y ambos volvieron a casa para cenar. Lucy tuvo un dolor de cabeza y se acostó temprano. Al regresar a casa, Lucy estaba dormida, y Sibyl caminó hacia el oeste por los acantilados llena de una suave tristeza ya que pensaba en Jonathan.","Tragedia en la iglesia"
"Qué observa Lucy por la ventana?","Lucy observa algo en forma de pájaro sentado sobre el antepecho de la ventana.","Observación"
"Qué observa Mina?","Mina nota una apariencia de Lucy que resulta más pálida y cansada que de costumbre. Además, hay algo inquieto en sus ojos, lo cual la preocupa, y desea saber qué le está pasando.","Observación"
"¿Qué se observa en Lucy?","Se nota que Lucy está envejeciendo y degenerando rápidamente, lo cual hace que Mina tenga temor por su salud. No hay ninguna noticia reciente de Jonathan Harker y Lucy se vuelve cada vez más débil y más lánguida durante la noche.","Observación"
"Qué sucede con Lucy?","Lucy queda desmayada después de que la encontramos por la ventana, y cuando la despertamos está sumamente débil, llorando y aspirando labradas y dolorosamente. Las heridas que le causó el piquete de alfiler no parecen haberse sanado.", "Estado de Lucy"
"Qué es el destino final de la mercancía?","El envío está dirigido a Carfax, cerca de Purfleet.","Destinatario"
"Cuánta cantidad recibe Billington y Hijo de Carter, Paterson y Cía.,?","Carter, Paterson y Cía., pagan £ 12 17s 9d a Billington e Hijo.","Pagos/Recepción"
"¿Cómo se comporta Lucy durante el día?","Lucy presenta una apariencia pálida y triste, pero está de buen humor y llena de vida y alegría.","Apariencia/Personalidad"
"Qué sueños tiene Lucy en esta época?","Lucy no recuerda haber tenido suenos pero su comportamiento parece ser realmente presente, queriendo estar en el cementerio. Además recordaba pasar por las calles y saltar un pez.",Sueño"
"Qué experiencia relata Lucy?","Lucy narra una sensación de estar bajo el agua con un ser dulce pero amargo a la vez.",Experiencia"
"¿Qué información reciben los personajes sobre Jonathan?","Se enteran de que Jonathan está enfermo.",Información/Jonathan"
"Qué información da la carta de Agatha sobre Jonathan?","Agatha informa que Jonathan ha estado sufriendo una enfermedad cerebral y que necesita mucha más recuperación.",Enfermedad/Jonathan"
"Qué información recibe Agatha sobre el estado del hermano de Jonathan?","Agatha recibe la información de que su futuro esposo, Jonathan Harker, ha estado enfermo después de pasar tiempo con el Conde Drácula. La carta también menciona que las huellas de esta enfermedad no se borran fácilmente y que debe cuidarse del excesivo contacto con él para evitar futuras incidentes.","Estado de salud"
"Qué tipo de animal se compara con el comportamiento de Renfield durante la noche del 19 de agosto?","El comportamiento de Renfield durante la noche del 19 de agosto es comparado a un perro que rueda y olfatea por todos lados.", "Comparación"
"Qué observaciones hace el doctor Seward sobre el comportamiento de Renfield?","El doctor Seward se refiere al cambio repentino y arrogante en el comportamiento de Renfield, aparentemente a causa de una manía religiosa."Manía"
"¿Qué observaciones hace el doctor Seward acerca de la apatía de Renfield?","El doctor Seward se pregunta si la aparente apatía de Renfield es real o sólo fingida y trata de llevarle a una conversación sobre sus animales, un tema que nunca había estado desinteresado.", "Observaciones"
"Qué se refiere el doctor Seward al 'Moderno Morfeo'?","El doctor Seword se refiere a Cloral, una droga hipnótica para ayudarlo a dormir.","Nombre de la droga"
"Qué sucesos ocurren durante esta noche?","El doctor Seward decide no tomar la droga Cloral para dormir y se despierta en el siguiente momento al saber que Renfield ha escapado.","Noches temibles"
"¿Qué se despega en la dirección a la que sigue Renfield?","Renfield desaparece y escala un muro alto.","Fuga de Renfield"
"¿Qué ha visto Jonathan Harker durante su búsqueda del asilo de Renfield?","Jonathan Harker ve a una figura blanca subir un muro y se apresura a regresar al guardia.","Desaparecido"
"Qué se desencadena al otro lado de la casa donde estaba Renfield?","Renfield encuentra a un asaltante dentro.","Otras personas"
"Qué relación describe Jonathan Harker para el asilo donde encuentra a Renfield?","Jonathan Harker lo considera una fortaleza segura para contener a Renfield.","Asilo/Refugio"
"Qué información Mina Harker quiere compartir con Lucy Westenra?","Mina quiere contarle todo lo que ha sucedido desde que se separaron en la estación de Whitby.","Desde Whitby"
"Qué revela Mina sobre la condición actual de Jonathan Harker?","Mina describe a su esposo como débil y pálido.","Jonathan"
"Qué descubre Mina al despertarse su esposo?","Jonathan Harker despertó y pidió a su esposa su abrigo.","Jonathan/Mina"
"¿Qué idea tiene Agatha sobre la confianza marital?","Agatha cree que no debe haber ningún secreto entre marido y mujer.","Confianza/Maritalidad"
"¿Qué libro desea que Agatha guarde?","Agatha desea que Guillermo le regale un libreto para guardarlo, ya que contiene un secreto.","Libro/Secreto"
"Qué cosas desea contener el libro?","El libro contiene un secreto y una señal de confianza.","Libro/Secreto"
"Qué significa la señal para Guillermo y Lucy?","La señal es una representación física de su confianza mutua.","Confianza/Maritalidad/Signo"
"Qué deseos le expresa Lucy al leer la carta de Guillermo?","Lucy desea estar feliz y ser amada como está ella misma.","Carta/Deseo"
"¿Qué actividades se están llevando a cabo en Whitby?","Se están realizando actividades como paseos, cabalgadas, remados y juegos de tenis.","Actividades/Whitby"
"Qué dijo Renfield para sí mismo cuando se tranquilizó?","Renfield se murmuró a sí mismo 'Ahora puedo esperar; ahora puedo esperar.'","Renfield"
"Cuáles eran los pensamientos de Jonathan Harker hacia Renfield?","Jonathan Harker se pregunta si tiene algo en común con el loco Renfield y si él puede obtener algún bien estupendo del loco que necesita su salud.","Jonathan Harker"
"Qué observación hizo el doctor Seward sobre Renfield?","El doctor Seward notó que el loco Renfield tenía períodos de descenso en su pasión y que lo mantuvo tranquilo durante las noches desde la salida de la luna a la salida del sol.","Observación"
"Qué nuevo se produjo con Renfield?","Renfield huyó nuevamente del cuarto de seguridad y fue encontrado reclinado contra la vieja puerta de la capilla. Cuando lo vio el doctor Seward, se puso en rabia y hubiese causado daño si no hubiera sido detenido a tiempo.","Renfield"
"Qué nuevo se observó sobre el paciente Renfield?","El doctor Seward descubre una cosa extraña cuando detiene al loco Renfield: un gran murciélago pasa por encima del cuarto mientras Renfield calma y le dice que no necesitan amarrarlo.","Observación"
"Qué noche fue para Lucy?","Lucy tuvo otra mala noche y no pudo dormir. Deseaba estar otra vez en casa con Mina, pero su madre se negó a dejarla dormir en el cuarto de ella. Lucy pensó que tal vez debía dormir esa noche en el cuarto de su madre.", "Diario Lucy"
"Qué enfermedad describe Arthur acerca de Lucy?","No se refiere a una enfermedad específica pero sí que Lucy se ve cada vez más enfermiza y está deteriorándose.","Síntomas/Estado de salud"
"Qué razón proporciona Arthur para visitar a Lucy?","Arthur visita a Lucy porque está convencido de que algo está mal con ella y cree que su presencia puede ayudarla.","Motivación"
"¿Qué relación describe el Dr. Seward entre su examen de Lucy y sus sentimientos amistosos?","El Dr. Seward reconoce que no podrá realizar un examen como desea debido a la presión social y a sus propias sentimientos por Lucy, pero le asegura que estará en contacto con él para informarlo de todo.","Examen/Sentimiento"
"Qué reacción describe Lucy ante el Dr. Seward cuando éste intenta examinarla?","Lucy se muestra resistente e indiferente ante el Dr. Seward en sus primeros momentos de reunión.","Reacción"
"Qué hallazgos describe el Dr. Seward al analizar la sangre de Lucy?","El análisis de la sangre de Lucy muestra condiciones normales y evidencia de un vigoroso estado físico.","Análisis"
"Qué conclusión llega el Dr. Seward respecto a las razones por las que Lucy se muestra enferma?","El Dr. Seward considera a Lucy como una persona saludable, pero piensa que hay algún factor mental que está afectándola y decide pedir asesoramiento al Profesor Van Helsing sobre el tema.","Conclusión"
"¿Qué razones menciona la carta de Quincey Morris sobre por qué Drácula debe ser derrotado?","Quincey Morris justifica que Drácula debe ser derrotado, ya que él es una amenaza para la humanidad y posee poderes sobrenaturales.","Derrota a Drácula"
"¿Qué razones menciona Abraham Helsing para su viaje a Londres?","Abraham Helsing justifica su viaje a Londres, ya que lo invitó su amigo, el Dr. Seward, y desea ayudar a sus amigos.","Motivo del viaje"
"¿Qué relación describe Arthur Holmwood sobre su visita a Lucy?","Arthur Holmwood relata que Visitó a Lucy sin ser detectado por sus padres, y Van Helsing examinó a la paciente, preocupándose y reconsiderando el diagnóstico.","Visita a Lucy"
"¿Qué razones menciona Jonathan Harker sobre por qué debe mantener su relación con Arthur Holmwood?","Jonathan Harker argumenta que debido a la lealtad de Arthur Holmwood y el amor de esta último por Lucy, debe mantener una relación estrecha con él para ayudar en sus esfuerzos por salvarla.","Razones de Jonathan"
"¿Qué reacción describe Lucy cuando van a hablar de sus problemas?","Lucy cambia el tema para evitar la discusión sobre sus síntomas y su diagnóstico."
"¿Qué razones menciona Lucy para la importancia de Van Helsing en su vida?","Lucy describe a Van Helsing como un sabio y un anciano que entiende los dolores y las causas de ellos."
"¿Qué sugerencia hizo el Dr. Seward a Lucy?","El Dr. Seward le sugirió a LUCY que lo informara si volvía a tener la sensación de pierda de sangre o algún otro síntoma inquietante.","Sugerencia Médica"
"¿Qué fue el primer síntoma de Lucy que tuvo?","El primer síntoma visible de Lucy fue la sensación de perder sangre.","Primer Síntoma"
"¿En qué momento Lucy se recuperó?","Lucy mostró signos de mejoría a las cinco de la tarde.","Recuperación"
"¿Cuál es el estado de Lucy después del ataque?","Lucy se recuperó después del ataque y volvió a su habitación. Ésta está recogiendo moscas para comerlas y regresando a sus actividades anteriores. Sin embargo, evita hablar sobre lo ocurrido.", "Estado Post-Ataque"
"¿Cómo describe el doctor Seward a Lucy después del ataque?","El doctor Seward describe a Lucy como una persona que ha recuperado tras el ataque y está recolectando moscas. Sin embargo, evita hablar sobre los sucesos de los últimos días.", "Descripción Post-Ataque"
"¿Cuál es el estado emocional del Dr. Seward al finalizar el diario?","El Dr. Seward siente desagrado al ver la belleza del sol poniente y su propia vida desolada, pero admira el poder intelectual recuperativo de los enfermos mentales.", "Estado Emocional"
"Qué causa ocasionó el cambio repentino de attitude de Quincey Morris hacia la caza de moscas?","Un período de tiempo determinado parece haber influido en la aparición de su nueva pasión por el cazamiento de moscas, sin embargo, no sabemos exactamente qué causó este cambio repentino.","Motivación/Cambio"
"¿Qué ocurrió con Lucy en el sexto día tras su transformación?","Lucy experimenta algunos recésitos pero la situación sigue mejorando, y se le permite visitarla sin que ella sea advertida para permitir a los Harker entrar y salir de sus lugares sin causarle alarma.","Evolución"
"¿Qué le dijo van Helsing a Seward acerca de Arthur?","Van Helsing le advierte a Seward que él y el conocen la relación problemática entre Lucy y Arthur, y recomienda no revelarle a Arthur la presencia de Abraham Van Helsing hasta ser necesario.","Adelantamiento"
"¿Qué reveló van Helsing acerca de Arthur en esta conversación?","Van Helsing asegura que Arthur está sufriendo de alguna forma y le recomienda no revelarle la presencia del doctor Van Helsing hasta ser necesario. También se refiere al tema general de los locos y cómo tratar con ellos para mantener la paz en el mundo.","Cómo tratar con Arthur"
"Qué idea reveló van Helsing al final de esta conversación?","Van Helsing comparaba la situación con el crecimiento de un buen grano y esperaba que eventualmente se resolvería positivamente, pero no hasta que comenzara a verse el grano.","Futuro"
"Qué consejos le dio van Helsing al final de la conversación?","Van Helsing le aconseja que escriba sus observaciones y dudas detalladas sobre el caso de Lucy y reflexionará sobre ellos. Menciona que los fracasos son más instructivos que las victorias.","Consejos"
"Qué puede significar 'horrible atavío'?","El 'horrible atavío' hace referencia a lo que la señora Westenra ve en la actitud de su hija, y es una manera crítica de llamarlo.","Descripción"
"Qué condición física describe el Dr. Van Helsing al ver a Lucy?","El Dr. Van Helsing describe a Lucy como pálida y doliente.","Descripción"
"Qué desesperación expresa el Conde Drácula por la situación?","El Conde Drácula está preocupado porque Lucy está a punto de morir y no hay tiempo para hacer una transfusión de sangre.","Desesperación"
"Qué rol juega el Doctor Van Helsing en ayudar a Lucy?","El doctor van Helsing está dispuesto a realizar una transfusión de sangre para salvar a Lucy.","Acción/ayuda"
"Qué descripción le hace el Dr. Van Helsing de Arthur?","El doctor van Helsing describe a Arthur como un hombre fuerte y joven.","Descripción/admiración"
"Qué es el papel de Arthur en la situación?","Arthur está listo para donar su sangre a Lucy y se sentirá feliz al poder ayudarla.","Acción/deseo"
"Cómo es descrita a Mina?","Mina está debilitada y prácticamente inconsciente.","Condición física"
"¿Qué efecto tiene el narcótico sobre ella?","El narcótico provoca un sueño profundo en Mina.","Medicamento"
"¿Qué petición hizo Van Helsing a Arthur?","Van Helsing le pidió a Arthur que se quitara la chaqueta y le permitiera darle un beso corto mientras él traía una mesa.","Pedido a Arthur"
"Qué pasa con Mina durante la operación?","Mina está recuperándose bajo el efecto del narcótico.","Operación/Cirugía"
"¿Cómo se describe a Van Helsing durante esta escena?","Van Helsing se dedica a la cirugía con rapidez y meticulosidad.","Descripción de Van Helsing durante la operación"
"Qué sentimiento provoca el resultado de la operación sobre Arthur?","Arthur se siente angustiado, ya que su pérdida de sangre le afecta seriamente.","Emociones de Arthur"
"Qué sentimiento describe Van Helsing hacia Arthur?","Van Helsings simpatía por la debilidad de Arthur.","Sentimiento hacia Arthur"
"¿Qué acción desempeña Van Helsing después de la operación?","Van Helsing se ocupa de Mina, arreglando una almohada bajo su cabeza y sofocando un silbido que revela sus emociones.","Desempeño de Van Helsing después de la cirugía"
"Qué reacciona Van Helsing a los cambios en Lucy?","Van Helsing se ocupa de Lucy para que vuelva a dormir y se recupere.","Reacción a los cambios en Lucy"
"¿Qué pensamientos ocultos tiene Van Helsing sobre la marca roja en garganta de Lucy?","Van Helsing no revela sus pensamientos hacia el misterio de la marca roja.","Misterio de la marca roja en garganta de Lucy"
"Qué descubre Arthur al inspeccionar las heridas de Lucy?","Arthur observa dos pinchazos en la vena yugular externa. No hay signos de infección pero los bordes parecen gastados.","Heridas de Lucy"
"¿Qué sentimiento describe Lucy después de la transfusión?","Lucy se siente bien y llena de una alegre vivacidad.","Después de la transfusión"Preguntra,Respuesta,Etiqueta
"¿Qué razón dio Lady Westenra para no dormirse?","Lady Westenra temía dormir por miedo.","Motivos/Miedos"
"¿Qué razón dio Arthur Holmwood para que su madre permaneciera despierta?","Arthur Holmwood sugirió a Lady Westenra que había que permanecer despierta como una bendición deseada por todos.","Razones/Aleganzas"
"¿Qué creía Lady Westenra acerca del sueño?","Lady Westenra temía que el sueño le representara un presagio de horror.","Presagios/Sueños"
"¿Qué sucedió con Lady Westenra durante la noche?","Lady Westenra tuvo un sueño tranquilo y descansó.","Resultado/Sucesos"
"¿Qué planes tenía Lucy para el doctor Seward?","Lucy le ofreció al doctor Seward dormir en su propio sofá y mantener las puertas abiertas.","Ofrecimiento/Planes"
"¿Qué estado mental presentaba Lucy?","Lucy se sentía feliz y reanimada, pero seguía siendo débil.","Estado mental/Sentimiento"
"¿Qué había pasado con la paciente de van Helsing?","La paciente de van Helsing se recuperaba tranquilamente.","Recuperación/Estado"
"Qué ocurre cuando Jonathan Harker llega a la habitación del Conde Drácula y encuentra a Lucy?","Jonathan Harker llega a encontrar a Lucy sobre la cama, mortalmente blanca y pálida. Van Helsing se horroriza, pero mantiene su control.","Encuentro"
"¿Qué sucede al final de la primera parte de 'Drácula'?","El profesor Van Helsing lleva a cabo una transfusión con la sangre de Jonathan para salvar a Lucy. Se mantienen alertos, pues temen que ella despertara y se convierta en un vampiro.","Transfusión"
"¿Qué acciones toman los personajes en la primera parte de 'Drácula'?","Los profesores Seward y Van Helsing realizan una transfusión de sangre para salvar a Lucy, poniendo así fin al capítulo.","Acciones"
"¿Qué hacen los profesores Seward y Van Helsing después de la transfusión?","Los profesores Seward y Van Helsing mantienen a Lucy bajo vigilancia estrecha para que no despertará y se convierta en un vampiro, mientras Jonathan aplica presión digital sobre su propia herida.","Post-transfusión"
"¿Qué pasa al final de la primera parte de 'Drácula'?","Lucy se recupera y continúa con su vida normal, bajo la vigilancia estrecha de los profesores Seward y Van Helsing, que permanecen alertas para prevenir cualquier intento de conversión.","Finalización"
"¿Qué reacciona la comunidad a los eventos que han sucedido en la primera parte?","Los personajes toman medidas para mantener a Lucy bajo vigilancia y evitar que el conocimiento de los hechos se extienda.","Reacción comunidad"
"Qué fecha marca la primera noche que Jonathan Harker pasa en Klausenburg?","La primera noche que Jonathan Harker pasa en Klausenburg es el 3 de mayo.","Noche en Klausenburg"
"Qué petición hacen las sirvientas a Drácula Bram Stoker para la señorita Lucy?","Las sirvientas imploran a Drácula que les deje cuidar de la señorita Lucy durante una noche.","Petición Sirvientes"
"Qué flores envía el profesor a Lucy para que sean medicinas?","El profesor envía una gran cantidad de flores blancas a Lucy, que son supuestamente medicamentos.","Flores Medicinales"
"¿Qué intenta hacer el profesor con las flores en la habitación de Lucy?","El profesor cuelga las flores como guirnalda alrededor de la cabeza de Lucy para que duerma bien.","Guirnaldas/Flores"
"Qué acción toma el profesor al saber que Lucy ha descubierto su broma con las flores?","El profesor se pone en pie y le promete a Lucy que no juega bromas; insiste en que hay un propósito detrás de sus acciones, advirtiendo a Lucy que no revele lo sucedido a los demás.","Profesor/Flores"
"Qué acción toma el profesor para evitar que el aire que entra a través de las guillotinas tenga olor a ajo?","El profesor frotó las guillotinas con flores para que cada partícula del aire que pasara a través de ellas se cargara con el olor a ajos.","Profesor/Guillotinas"
"Qué últimas palabras dice el profesor a Lucy antes de que ella se acueste?","El profesor le advierte a Lucy para mantenerse tranquila y no abrir la puerta ni la ventana.","Profesor/Lucy"
"¿Qué pensamientos tiene Lucy sobre el doctor van Helsing?","Lucy siente una gran admiración por el doctor van Helsing y se pregunta por qué estaba tan ansioso acerca de las flores.","Lucy/Doctor van Helsing"
"De dónde sale el doctor Seward y qué trabajo le aguarda?","El doctor Seward sale del Berkeley Hotel y se prepara para un viaje, ya que había ordenado un coche esperándolo.","Salida/Destino"
"Desde dónde sale el profesor van Helsing y qué objetivo tiene para hoy?","Professor van Helsing sale desde el Berkeley Hotel y dirige hacia Hillingham, donde ha diagnosticado que Lucy está mejor, por lo que planea visitarla.","Salida/Objetivo"
"Cuál fue el problema del profesor van Helsing al entrar en el cuarto de Lucy?","El profesor van Helsing encontró que el aire estaba viciado y que había montones de flores malolientes en todo el cuarto, lo cual preocupó a pesar de la mejora de Lucy.", "Problema"
"Qué fue el resultado del encuentro del profesor van Helsing con Lucy?","Professor van Helsing descubre que la situación en el cuarto de Lucy había cambiado negativamente.", "Resultado/Consecuencia"
"Cuál era el estado de Lucy cuando se enfrentaron al profesor van Helsing en su cuarto?","Lucy estaba muerta pero no habían podido aceptarlo y se sentían obligados a continuar buscando solución. El profesor también necesitaba tiempo para recogerse antes de prepararse para la transfusión.", "Estado/Motivación"
"Qué fue el resultado final del tratamiento de Lucy?","Lucy se recuperó gracias a la transfusión de sangre de su amigo y el cuidado del doctor Seward.", "Resultado/Consecuencia"
"Qué día y mes marca la primera entrada de Lucy Westenra en el diario?","La primera entrada de Lucy Westenra en su diario está fechada el 17 de septiembre.","Fecha de entrada"
"¿Qué sensaciones recuerda Lucy al recordar el transcurso de sus últimos cuatro días y noches?","Lucy recuerda que, después del periodo de horrores y de lamentar la pérdida de control sobre su propio cuerpo, está volviendo a la tranquilidad y recuperándose.","Recuerdo"
"¿Qué día marca la última entrada de Lucy Westenra en el diario?","La última entrada del diario de Lucy está fechada 'hoy', lo que sugiere que es un jueves. Sin embargo, no se especifica una fecha para el día siguiente.","Fecha de última entrada"
"¿Qué día marca el encuentro del periodista con el guardián del Jardín Zoológico?","El día 18 de septiembre.","Encuentros/Intervenciones"
"¿Qué expresiones utiliza Thomas Bilder para describir el modo en que él trata a los lobos y otros animales?","El guardián de la sección del Jardín Zoológico describe su tratamiento a los lobos, chacales y hienas como 'golpearlos sobre la cabeza con un palo' o 'rascarles las orejas'.","Tratamiento"
"Qué relación hay entre el guardián y la misteriosa escena de fuga del lobo?","El guardián Thomas Bilder parece conocer algo de la fuga del lobo que puso en peligro a dos niños. El guardián muestra un comportamiento sospechoso ante las preguntas sobre este tema, lo que lleva al periodista a sospechar que puede estar involucrado en algún modo.","Relación/Eventos"
"¿Qué tipo de lobo era Bersicker antes de su fuga?","Bersicker era un lobo tranquilo y bien comportado antes de huir.","Características del lobo"
"Qué animales parecen estar molestos al hombre que encuentra en el castillo?","Los lobos parecen estar irritados por el hombre.","Animales irritados"
"¿Qué animales mira el hombre y el lobo?","El hombre y el lobo miran hacia la dirección donde desapareció el señor.","Animal mirando desaparición"
"Qué pasa con el lobo viejo?","El viejo Bersicker ha desaparecido de la jaula.","Lobo desaparecido"
"¿Qué teoría tiene Bilder sobre el porqué del escape de Bersicker?","Según Bilder, el lobo simplemente quería salir.","Teoría sobre lobo"
"¿Qué piensa Bilder sobre el destino del lobo?","Según Bilder, el lobo está escondido alrededor.","Lobo oculto"
"Qué es lo que Bilder creía que pasaría con el lobo si se encontraba en su guisa?","Si el lobo hubiera sido detectado, Bilder creía que lo matarían.","Creencia sobre lobo"
"¿Qué sorprende al doctor Seward que desciende desde la ventana?","El Drácula asoma por la ventana y su rostro se dobla debido a la sorpresa.","Aparición/ Sorpresa"
"Cómo describe el doctor Seward al señor Bilder?","El señor Bilder es descrito como un hombre amable, pero cuando se sorprende, su rostro doplica de tamaño y semejanza, aún más que la mitad.","Descripción"
"¿Qué apodan al lobo por la gente de la aldea?","El lobo es apodado como 'Bersicker'.","Nombre"
"¿Cuál es el resultado de la caza del Drácula y cómo lo describe el Doctor Seward?","Se describe a 'Bersicker' como un 'pobre animal' que está recibido y acariciado por los habitantes, aunque se le cortan las cabeza con vidrio. La escena es descrita como una mezcla de comedia y tragedia.","Descripción/Caza"
"¿Qué ocurre en el diario del Dr. Seward en septiembre?","El Dr. Seward se encuentra ocupado y atrasados sus libros, pero interrumpe su trabajo para recibir a su paciente por sus propias fuerzas con un cuchillo de cocina, antes que él pueda alcanzarlo.","Diario"
